"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_add_employee","testes","2026-03-29","broken","2026-03-29","TestAddEmployee","test_006_add_employee","",""
"","8625","test_logout","tests","2026-04-01","passed","2026-04-01","TestLogout","test_004_logout","",""
"","4017","test_login_param[WrongUser-admin123-False]","tests","2026-04-01","passed","2026-04-01","TestLoginParameterized","test_002_login_parameter","",""
"","12979","test_login_param[Admin-admin123-True]","tests","2026-04-01","passed","2026-04-01","TestLoginParameterized","test_002_login_parameter","",""
"","7174","test_login_param[Admin-admin123-True]","testes","2026-03-29","passed","2026-03-29","TestLoginParameterized","test_002_login_parameter","",""
"","4285","test_invalid_login","testes","2026-03-29","passed","2026-03-29","TestInvalidLogin","test_003_invalid_login","",""
"","4608","test_invalid_login","tests","2026-04-01","passed","2026-04-01","TestInvalidLogin","test_003_invalid_login","",""
"","8","test_login_param[Admin-admin123-True]","","2026-03-09","passed","2026-03-09","","","",""
"","4554","Verify user can login with valid credentials","testes","2026-03-29","passed","2026-03-29","TestLogin","test_001_login","",""
"","6486","test_login_param[WrongUser-wrongpass-False]","testes","2026-03-29","passed","2026-03-29","TestLoginParameterized","test_002_login_parameter","",""
"","4045","test_login_param[WrongUser-wrongpass-False]","tests","2026-04-01","passed","2026-04-01","TestLoginParameterized","test_002_login_parameter","",""
"","6472","test_login_param[WrongUser-admin123-False]","testes","2026-03-29","passed","2026-03-29","TestLoginParameterized","test_002_login_parameter","",""
"","4859","test_login_param[Admin-wrongpass-False]","tests","2026-04-01","passed","2026-04-01","TestLoginParameterized","test_002_login_parameter","",""
"","15151","test_add_candidate","tests","2026-04-01","passed","2026-04-01","TestRecruitment","test_recruitment","",""
"","18972","test_add_employee_e2e","tests","2026-04-01","passed","2026-04-01","TestAddEmployeeE2E","test_006_add_employee","",""
"","28737","test_add_employee","tests","2026-03-29","broken","2026-03-29","TestAddEmployee","test_006_add_employee","",""
"","6550","test_dashboard_loaded","testes","2026-03-29","passed","2026-03-29","TestDashboard","test_005_dashboard","",""
"","22231","test_logout","testes","2026-03-29","broken","2026-03-29","TestLogout","test_004_logout","",""
"","22163","test_login_param[Admin-wrongpass-False]","testes","2026-03-29","broken","2026-03-29","TestLoginParameterized","test_002_login_parameter","",""
"","4537","Verify user can login with valid credentials","tests","2026-04-01","passed","2026-04-01","TestLogin","test_001_login","",""
"","4874","test_dashboard_loaded","tests","2026-04-01","passed","2026-04-01","TestDashboard","test_005_dashboard","",""
"","13870","test_add_employee_e2e","","2026-03-29","passed","2026-03-29","","","",""
